Order Date,City,Category,Sub-Category,Product Name,Sales,Quantity
2014-08-27,San Francisco,Office Supplies,Art,Newell 341,8.56,2
2014-08-27,San Francisco,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3
2014-08-27,San Francisco,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4
2016-12-09,Fremont,Office Supplies,Art,Newell 318,19.46,7
2016-12-09,Fremont,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7
2017-07-16,Philadelphia,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37199999999999,2
2015-09-25,Orem,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3
2016-01-16,Los Angeles,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2
2016-01-16,Los Angeles,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3
2015-09-17,Philadelphia,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.4300000000003,7
2015-09-17,Philadelphia,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618000000000002,2
2015-09-17,Philadelphia,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.20000000000002,3
2015-09-17,Philadelphia,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2
2015-09-17,Philadelphia,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6
2015-09-17,Philadelphia,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858000000000001,6
2015-09-17,Philadelphia,Office Supplies,Art,Lumber Crayons,15.76,2
2017-10-19,Houston,Office Supplies,Paper,Easy-staple paper,29.472,3
2016-12-08,Richardson,Technology,Phones,GE 30524EE4,1097.5440000000003,7
2016-12-08,Richardson,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5
2015-12-27,Houston,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9
2015-12-27,Houston,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3
2015-12-27,Houston,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3
2015-12-27,Houston,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4
2017-09-10,Naperville,Technology,Phones,Panasonic Kx-TS550,147.168,4
2016-07-17,Los Angeles,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2
2017-09-19,Melbourne,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2
2016-03-11,Eagan,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2
2016-03-11,Eagan,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2
2014-10-20,Westland,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4
2016-06-20,Dover,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3
2016-06-20,Dover,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2
2015-04-18,New Albany,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6
2015-04-18,New Albany,Office Supplies,Labels,Avery 485,75.17999999999999,6
2015-04-18,New Albany,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2
2015-04-18,New Albany,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1
2016-12-11,New York City,Office Supplies,Fasteners,Advantus Push Pins,15.260000000000002,7
2016-12-11,New York City,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5
2016-06-17,Troy,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6
2016-06-17,Troy,Office Supplies,Paper,Xerox 232,32.400000000000006,5
2016-06-17,Troy,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5
2016-06-17,Troy,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2
2016-06-17,Troy,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2
2016-06-17,Troy,Office Supplies,Binders,Plastic Binding Combs,48.48,4
2016-06-17,Troy,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1
2015-11-24,Los Angeles,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2
2015-11-24,Los Angeles,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6
2015-11-24,Los Angeles,Office Supplies,Paper,Xerox 1943,146.73,3
2015-11-24,Los Angeles,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4
2015-04-30,Chicago,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5
2014-12-05,Gilbert,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8
2014-12-05,Gilbert,Technology,Phones,netTALK DUO VoIP Telephone Service,167.96800000000002,4
2016-06-04,Springfield,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2
2016-09-18,New York City,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1
2017-09-14,Jackson,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3
2015-04-26,Memphis,Furniture,Chairs,High-Back Leather Manager's Chair,831.9360000000001,8
2015-04-26,Memphis,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2
2015-04-26,Memphis,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1
2017-12-09,Houston,Office Supplies,Binders,Economy Binders,1.2479999999999998,3
2017-12-09,Houston,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3
2017-12-09,Houston,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3
2014-11-26,Houston,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5
2016-06-12,Decatur,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1
2016-06-12,Decatur,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.740000000000002,3
2014-10-12,San Francisco,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5
2014-10-12,San Francisco,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1
2015-09-03,Durham,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98400000000004,7
2017-11-13,Chicago,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3
2017-05-28,Columbia,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2
2017-10-26,Rochester,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1
2017-10-26,Rochester,Office Supplies,Labels,Avery 511,6.16,2
2016-04-05,Houston,Office Supplies,Storage,Eldon Portable Mobile Manager,158.36800000000002,7
2016-09-17,Los Angeles,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3
2016-09-17,Los Angeles,Technology,Phones,Panasonic Kx-TS550,73.584,2
2016-09-17,Los Angeles,Office Supplies,Paper,Xerox 1995,6.48,1
2015-01-31,Minneapolis,Office Supplies,Paper,Xerox 1999,12.96,2
2015-01-31,Minneapolis,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3
2015-01-31,Minneapolis,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2
2017-11-06,Portland,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682000000000001,1
2017-11-09,New York City,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7
2017-06-17,San Francisco,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3
2016-09-06,Saint Paul,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6
2016-08-29,Chicago,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7
2016-08-29,Chicago,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3
2016-08-29,Chicago,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.7879999999999996,3
2016-12-01,Rochester,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4
2015-11-13,Aurora,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6
2015-11-13,Aurora,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3
2015-11-13,Aurora,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882000000000005,3
2017-11-23,Charlotte,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11200000000001,8
2017-11-23,Charlotte,Technology,Phones,Speck Products Candyshell Flip Case,27.992000000000004,1
2017-11-23,Charlotte,Office Supplies,Art,Newell Chalk Holder,3.3040000000000003,1
2015-10-15,Orland Park,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96000000000004,5
2017-12-25,New York City,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2
2016-11-03,Urbandale,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2
2016-11-03,Urbandale,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6
2014-08-25,Columbus,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14
2014-08-25,Columbus,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.720000000000001,2
2014-08-25,Columbus,Office Supplies,Paper,Xerox 1921,23.976000000000003,3
2014-08-25,Columbus,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6
2015-03-02,Seattle,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3
2015-04-05,Bristol,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.79400000000004,1
2016-06-12,Wilmington,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3
2016-06-12,Wilmington,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4
2016-06-12,Wilmington,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6
2016-06-12,Wilmington,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9
2016-06-12,Wilmington,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7
2014-12-26,Houston,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3
2014-09-20,Bloomington,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6
2017-11-05,Phoenix,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.3880000000000003,2
2017-11-05,Phoenix,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7
2016-11-06,Los Angeles,Furniture,Chairs,"Global Task Chair, Black",81.424,2
2016-11-06,Los Angeles,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3
2017-02-02,Columbus,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.96999999999999,5
2017-02-02,Columbus,Office Supplies,Paper,Xerox 1916,78.304,2
2017-02-02,Columbus,Office Supplies,Fasteners,Staples,21.456,9
2016-10-13,Roseville,Office Supplies,Paper,Xerox 195,20.04,3
2016-10-13,Roseville,Office Supplies,Paper,Xerox 1880,35.44,1
2016-10-13,Roseville,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4
2016-10-13,Roseville,Office Supplies,Fasteners,Ideal Clamps,4.02,2
2016-10-13,Roseville,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3
2016-10-13,Roseville,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6
2016-10-13,Roseville,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.120000000000005,14
2016-09-05,Philadelphia,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.80000000000001,2
2017-09-18,San Francisco,Office Supplies,Art,Newell 343,8.82,3
2017-09-18,San Francisco,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3
2017-09-18,San Francisco,Office Supplies,Paper,Xerox 1911,143.7,3
2017-12-22,Independence,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.4300000000001,3
2015-09-07,Pasadena,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7
2014-10-22,Newark,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4
2016-12-05,Franklin,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.4500000000001,11
2016-12-05,Franklin,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3
2016-12-05,Franklin,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8
2016-12-05,Franklin,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5
2016-03-13,Scottsdale,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5
2016-03-13,Scottsdale,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2
2015-05-31,San Jose,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7
2015-05-31,San Jose,Office Supplies,Paper,Xerox 1883,105.52,4
2015-05-31,San Jose,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6
2015-05-28,Seattle,Office Supplies,Art,Newell 311,6.63,3
2014-03-01,Seattle,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2
2016-11-20,Edmond,Office Supplies,Labels,Avery 519,14.62,2
2016-11-20,Edmond,Technology,Phones,Avaya 5420 Digital phone,944.93,7
2016-05-11,Los Angeles,Office Supplies,Paper,Xerox 1920,5.98,1
2015-12-28,Philadelphia,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.38400000000001,2
2016-11-16,Carlsbad,Office Supplies,Envelopes,Staple envelope,28.4,5
2016-11-07,Seattle,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.680000000000003,2
2014-09-08,San Antonio,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3
2014-09-08,San Antonio,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.951999999999,8
2014-09-08,San Antonio,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928,3
2014-09-08,San Antonio,Furniture,Chairs,SAFCO Arco Folding Chair,1740.0599999999995,9
2014-09-08,San Antonio,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6
2014-09-08,San Antonio,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.97999999999996,5
2014-09-08,San Antonio,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3
2014-08-05,Los Angeles,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3
2014-08-05,Los Angeles,Office Supplies,Paper,Xerox 1913,110.96,2
2014-08-05,Los Angeles,Furniture,Chairs,"Global Value Steno Chair, Gray",340.14400000000006,7
2014-09-14,Chicago,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.44799999999999,2
2014-09-14,Chicago,Office Supplies,Labels,Avery 51,20.16,4
2017-04-21,Houston,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.26399999999998,4
2015-11-21,Newark,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7
2015-11-21,Newark,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88,5
2015-12-15,New York City,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1
2014-12-05,Decatur,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816000000000003,2
2014-12-05,Decatur,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,7
2014-11-19,Monroe,Technology,Phones,AT&T TR1909W,503.96,4
2014-11-19,Monroe,Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95,5
2014-11-19,Monroe,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29.0,2
2016-11-28,Fairfield,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2
2014-08-26,Los Angeles,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8
2016-07-16,Grand Prairie,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3
2016-07-16,Grand Prairie,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3
2015-10-12,New York City,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.1360000000001,4
2015-10-12,New York City,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6
2015-10-12,New York City,Office Supplies,Paper,Xerox 205,51.84,8
2015-10-12,New York City,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.3520000000001,3
2015-10-12,New York City,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5
2015-10-31,Redlands,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,7
2014-03-21,Hamilton,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2
2014-03-21,Hamilton,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,3
2017-11-06,Westfield,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3
2017-07-06,Philadelphia,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.9460000000000006,2
2017-07-06,Philadelphia,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3
2017-06-24,Akron,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744000000000003,3
2014-08-03,Denver,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2
2014-08-03,Denver,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1
2017-12-17,Dallas,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.28399999999999,2
2017-06-03,Franklin,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168000000000006,7
2017-12-09,Whittier,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4
2017-12-01,Saginaw,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4
2017-12-01,Saginaw,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2
2017-12-01,Saginaw,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4
2017-12-01,Saginaw,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29,9
2017-12-01,Saginaw,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1
2015-02-09,Dallas,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8,2
2015-01-02,Medina,Office Supplies,Labels,Avery 505,23.680000000000003,2
2015-01-02,Medina,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5
2015-01-02,Medina,Technology,Phones,Speck Products Candyshell Flip Case,62.982,3
2015-01-02,Medina,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188.0000000000002,9
2015-01-02,Medina,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2
2016-10-28,Los Angeles,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6
2016-10-28,Los Angeles,Technology,Phones,Adtran 1202752G1,302.376,3
2015-12-24,Dublin,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.5840000000000005,2
2015-12-24,Dublin,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704000000000004,6
2015-12-24,Dublin,Office Supplies,Binders,Ibico Standard Transparent Covers,19.776000000000003,4
2015-12-24,Dublin,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,4
2015-12-24,Dublin,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.98800000000006,4
2015-12-24,Dublin,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168000000000003,2
2015-08-09,Detroit,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2,1
2015-08-09,Detroit,Furniture,Tables,Bevis 36 x 72 Conference Tables,622.4499999999999,5
2015-08-09,Detroit,Office Supplies,Storage,Rogers Deluxe File Chest,21.98,1
2015-02-28,Columbia,Furniture,Chairs,Global Low Back Tilter Chair,161.568,2
2015-02-28,Columbia,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",389.696,8
2014-09-13,Charlotte,Office Supplies,Binders,GBC Instant Index System for Binding Systems,18.648000000000003,7
2017-04-07,Tampa,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86,2
2017-04-07,Tampa,Furniture,Tables,Bretford Rectangular Conference Table Tops,620.6145000000001,3
2017-04-07,Tampa,Office Supplies,Binders,GBC Instant Index System for Binding Systems,5.328000000000001,2
2017-04-07,Tampa,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,3
2017-04-07,Tampa,Technology,Accessories,Logitech P710e Mobile Speakerphone,617.9760000000001,3
2017-11-12,Santa Clara,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2
2016-06-04,Chicago,Office Supplies,Paper,Xerox 1957,25.920000000000005,5
2016-06-04,Chicago,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68000000000006,5
2016-06-04,Chicago,Furniture,Furnishings,Staple-based wall hangings,11.688,3
2016-06-04,Chicago,Technology,Phones,PureGear Roll-On Screen Protector,31.984,2
2016-06-04,Chicago,Furniture,Tables,KI Conference Tables,177.225,5
2016-06-04,Chicago,Furniture,Furnishings,Eldon 100 Class Desk Accessories,4.0440000000000005,3
2016-06-04,Chicago,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2
2014-06-01,Lakeville,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7
2014-06-01,Lakeville,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72,2
2014-06-01,Lakeville,Office Supplies,Paper,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",47.88,6
2014-06-01,Lakeville,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,1503.25,5
2014-06-01,Lakeville,Office Supplies,Paper,Xerox 205,25.92,4
2016-12-10,San Francisco,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568,2
2016-09-11,San Diego,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1
2016-09-11,San Diego,Technology,Accessories,Logitech P710e Mobile Speakerphone,3347.37,13
2016-12-10,New York City,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",80.58,6
2016-12-10,New York City,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92,4
2015-11-28,Chicago,Furniture,Furnishings,Eldon 100 Class Desk Accessories,12.132,9
2015-11-28,Chicago,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",82.368,2
2015-11-28,Chicago,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",53.92,5
2015-11-28,Chicago,Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,647.904,6
2017-12-01,New York City,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,20.37,3
2017-12-01,New York City,Office Supplies,Storage,Safco Industrial Shelving,221.55,3
2017-12-01,New York City,Office Supplies,Binders,Acco 3-Hole Punch,17.52,5
2017-06-08,Pasadena,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.6239999999999994,2
2014-09-19,Houston,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,3
2014-09-19,Houston,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,7
2016-06-06,Chicago,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,328.224,4
